	NK_D_L	NK_D_H	NK_E_L	NK_E_H	NK_F_L	NK_F_H	NK_K_L	NK_K_H	NK_L_L	NK_L_H	NK_M_L	NK_M_H	NK_N_L	NK_N_H
ENSG00000006451	1398	1044	1646	1069	1635	963	2321	2203	2323	2137	2801	2361	3144	2076
ENSG00000006453	32	32	17	21	79	42	44	28	66	17	6	64	64	22
ENSG00000006459	3142	3529	2482	2865	1985	2328	5751	4145	1875	2932	1879	3354	5042	3814
ENSG00000006468	0	0	0	0	0	0	2	2	0	0	0	0	0	0
ENSG00000006530	7113	4508	10357	7776	6454	5688	7993	5516	7662	4069	2834	5187	13327	8163
ENSG00000006534	652	55	383	99	1012	249	279	51	174	36	128	59	505	102
ENSG00000006555	745	741	1473	882	1178	853	1180	874	968	885	781	815	1329	1191
ENSG00000006576	1894	1877	2036	1958	1943	1578	2684	2002	1286	876	1140	1605	2818	1792
ENSG00000006606	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	857	965	1477	1139	811	560	1077	797	841	540	717	952	904	726
ENSG00000006611	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000006625	659	542	480	464	921	775	749	818	1001	704	753	654	1317	811
ENSG00000006634	5698	6180	3615	4913	3409	4311	7059	6931	3767	4363	4640	6326	6069	4794
ENSG00000006638	175	67	266	137	104	91	147	51	128	134	72	79	179	60
ENSG00000006652	7286	7195	4232	6245	3258	3682	3574	3792	3557	2923	3731	4238	5215	3991
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	1157	1027	1414	1305	1298	1210	2313	2067	2061	1598	1297	1421	3674	2552
ENSG00000006704	4	1	0	0	9	1	0	0	6	0	1	0	0	2
ENSG00000006712	3932	4297	4170	4101	2865	3673	4773	5360	4222	3280	3126	5038	6947	5848
ENSG00000006715	1876	1645	2955	2643	2254	1756	4259	2676	2381	2182	1473	1745	4636	3222
ENSG00000006740	3	22	34	6	6	33	19	12	56	19	22	0	57	25
ENSG00000006744	4813	4557	6793	4715	5404	4504	8041	5817	4913	2936	3520	4015	8591	6609
ENSG00000006747	0	0	0	0	0	0	6	0	0	0	0	0	16	12
ENSG00000006756	575	406	550	398	387	324	465	438	505	341	551	479	1995	1213
ENSG00000006757	166	92	230	155	227	141	404	326	223	165	283	314	403	230
ENSG00000006788	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000006831	823	768	786	755	954	845	1296	1506	1343	2247	2804	2160	2623	1703
ENSG00000006837	92	169	123	207	97	240	90	138	101	177	144	129	161	197
ENSG00000007001	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000007038	73	33	209	179	341	243	365	323	219	340	306	342	60	43
ENSG00000007047	225	150	424	200	205	195	223	169	191	302	284	288	375	305
ENSG00000007062	27	4	30	11	9	18	29	19	52	66	42	18	40	47
ENSG00000007080	2216	2018	2718	1664	2072	1895	3780	4473	5108	7569	5833	5381	7034	5003
ENSG00000007129	486	411	674	451	489	379	1093	867	731	926	818	587	1563	1130
ENSG00000007168	5766	3846	5271	4185	4453	3576	5308	4480	3836	3587	4745	4672	6664	4439
ENSG00000007171	0	15	0	4	0	0	25	12	0	0	0	0	52	6
ENSG00000007174	1	0	1	0	0	0	0	0	15	0	1	0	0	0
ENSG00000007202	7323	6266	8056	7030	5815	5273	9624	4937	4447	3998	3995	4799	8482	6861
ENSG00000007216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	8475	6082	7560	6282	5735	5157	9543	7484	6170	7755	7161	8241	7079	6177
ENSG00000007255	4043	2243	3623	2218	2539	2094	4804	5487	6601	9123	6484	5810	8864	6755
ENSG00000007264	19825	16491	24831	14169	17632	13380	26757	25198	31936	30840	18127	21107	33057	28424
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	1780	1134	1875	1128	1317	1094	1727	1993	1413	2008	1975	1783	3058	2338
ENSG00000007314	9	14	7	2	2	0	15	1	11	1	1	0	0	30
ENSG00000007341	1890	1719	1774	1707	1905	1935	2627	2712	2146	3091	2020	2684	4510	3171
ENSG00000007350	2450	3791	5332	8286	4268	5628	5638	4826	34305	27329	3125	7361	16397	14090
ENSG00000007372	1	11	0	0	0	6	7	0	0	0	0	9	0	6
ENSG00000007376	3350	3006	4638	2987	3039	2802	4672	5211	4834	5595	4037	4936	6123	4998
ENSG00000007384	3	8	67	3	7	10	19	2	0	42	0	24	0	13
ENSG00000007392	7853	7387	8405	6916	8614	7802	10445	9091	7678	5933	5512	7570	11831	8865
ENSG00000007402	816	905	553	791	1045	1136	1772	1219	854	1122	1015	1180	2240	1901
ENSG00000007516	1963	1124	3090	1439	1873	964	354	201	871	329	268	345	449	468
ENSG00000007520	4344	3808	5305	3280	3689	3555	5200	5735	5782	7920	6570	7226	8461	7053
ENSG00000007541	1243	904	2321	1047	1440	1167	2028	1754	1718	1484	940	1273	1805	1535
ENSG00000007545	1682	1440	1753	1724	1182	1072	1103	693	845	826	447	927	1546	1324
ENSG00000007866	33	16	0	11	6	0	0	0	0	0	0	0	6	3
ENSG00000007908	0	15	0	0	0	0	0	4	0	0	0	0	4	18
ENSG00000007923	3211	3028	3399	2990	3114	3015	4446	2998	2998	1496	1364	2204	4050	3252
ENSG00000007933	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944	25005	27437	20953	24672	18984	20575	28939	24063	15315	19770	23862	26821	28804	22879
ENSG00000007952	5	1	12	4	6	0	0	12	0	0	4	0	0	0
ENSG00000007968	72	28	230	54	93	13	61	28	170	1	146	60	129	24
ENSG00000008018	17661	13712	16751	13641	16602	15367	27482	29745	28480	34719	30739	29398	38553	27147
ENSG00000008056	2	7	1	0	6	4	2	8	0	6	0	11	0	11
ENSG00000008083	9568	8723	9590	8335	8944	7769	11615	7964	6786	5180	4538	6535	10298	7853
ENSG00000008086	174	203	123	92	73	167	372	209	195	145	168	123	487	399
ENSG00000008118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	1440	947	427	293	1128	967	781	695	631	944	1303	1082	1348	926
ENSG00000008130	1925	2365	2591	2201	2235	1958	4831	4163	3960	2778	2286	3067	5881	4215
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	207	383	291	295	392	351	598	268	165	171	166	275	500	360
ENSG00000008256	2790	2168	2776	2145	2049	1417	2566	1296	2222	1161	412	918	2061	1861
ENSG00000008277	250	354	164	249	390	357	1039	587	177	295	258	232	417	274
ENSG00000008282	4401	3053	2891	2904	3630	2238	1204	1470	2401	1149	1422	1959	1702	1077
ENSG00000008283	4339	3435	4722	3305	3292	2557	3137	2737	1240	936	984	1485	2247	2081
ENSG00000008294	3870	3369	2747	2978	2442	2209	4388	3125	2170	2295	3627	3226	3474	2850
ENSG00000008300	369	326	175	218	189	266	231	141	16	38	149	134	92	129
ENSG00000008311	231	47	162	111	173	112	637	322	170	106	188	259	95	109
ENSG00000008323	2	0	9	19	3	27	13	5	2	0	13	1	11	29
ENSG00000008324	3789	2688	2291	2695	2363	2961	6103	7860	5992	9214	7354	7127	7765	5497
ENSG00000008382	363	256	303	215	271	238	452	372	511	827	429	312	707	518
ENSG00000008394	13	0	0	6	38	0	2	6	12	0	76	0	20	0
ENSG00000008405	6419	8570	4454	7395	5328	6545	8808	7781	4353	3484	2719	5089	9532	7629
ENSG00000008438	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008441	289	159	180	43	71	43	93	63	158	4	97	73	30	24
ENSG00000008513	15382	13278	13920	9860	13213	11479	13692	12651	15550	13529	9161	12720	18676	15716
ENSG00000008516	388	121	480	144	355	208	90	114	174	161	155	217	241	221
ENSG00000008517	2671	2562	7719	6430	4832	5384	33591	36293	9342	15515	36055	29792	23558	16589
ENSG00000008710	1351	1033	2032	1170	1088	901	1802	741	786	840	429	936	1442	1447
ENSG00000008735	3	4	2	0	9	1	0	0	0	6	0	20	50	6
ENSG00000008838	3846	3673	5361	4485	3610	3394	7641	4913	3792	2926	2388	3451	7791	5626
ENSG00000008853	1139	883	1283	875	832	638	1113	795	850	688	561	667	1204	1196
ENSG00000008869	2904	2905	3924	3955	3134	2778	5302	1972	1486	1185	1268	1332	4060	2706
ENSG00000008952	5215	3836	3409	3627	4065	4158	7093	8201	8229	14009	12214	9544	9875	6922
ENSG00000008988	13751	8633	10571	7275	9041	8546	14606	15655	16936	27159	28293	20406	21180	15031
ENSG00000009307	33238	30337	29229	30798	25516	24491	47349	27869	18088	10241	10260	17606	33496	22327
ENSG00000009335	3211	3702	3625	3787	3524	3190	5887	3734	2324	1866	1797	2803	5618	3517
